GERENCIA_SERVICIOS,EQUIPO_COMERCIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,TARIFA,CONEXIONES_AGUA,CONEXIONES_ALCANTARILLADO,ANIO,MES,FECHA_CORTE
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,BRENA,150105,INDUSTRIAL,222,173,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,BRENA,150105,ESTATAL,0,0,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,JESUS MARIA,150113,SOCIAL,16,12,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,JESUS MARIA,150113,DOMESTICO,8698,4745,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,JESUS MARIA,150113,COMERCIAL,1957,1163,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,JESUS MARIA,150113,INDUSTRIAL,94,89,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,JESUS MARIA,150113,ESTATAL,1,1,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,LA VICTORIA,150115,SOCIAL,16,13,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,LA VICTORIA,150115,DOMESTICO,26544,16329,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,LA VICTORIA,150115,COMERCIAL,6376,3552,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,LA VICTORIA,150115,INDUSTRIAL,478,347,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,LA VICTORIA,150115,ESTATAL,0,0,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,MAGDALENA,150120,SOCIAL,8,7,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,MAGDALENA,150120,DOMESTICO,7681,5148,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,MAGDALENA,150120,COMERCIAL,1146,762,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,MAGDALENA,150120,INDUSTRIAL,52,49,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,MAGDALENA,150120,ESTATAL,0,0,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,PUEBLO LIBRE,150121,SOCIAL,6,4,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,PUEBLO LIBRE,150121,DOMESTICO,12174,10137,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,PUEBLO LIBRE,150121,COMERCIAL,1429,879,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,PUEBLO LIBRE,150121,INDUSTRIAL,84,83,2023,202304,20230505
